	Pvalue	FDR	pathwayActivity
cytoskeletal remodeling (M32.8)	0.0829374286284754	0.53650354829081	-0.0848877442741066
inflammatory response (M33)	0.0156732071677586	0.488915277420699	-0.15001373602173
cytoskeletal remodeling (enriched for SRF targets) (M34)	0.223398044385274	0.602562903593325	0.0594729174995344
signaling in T cells (I) (M35.0)	0.291272093309707	0.628684134759258	-0.0513672636692304
signaling in T cells (II) (M35.1)	0.968589181217666	0.985681931474448	0.0139030929854792
T cell surface, activation (M36)	0.193412240056902	0.601781871453575	-0.0478766300256538
immune activation - generic cluster (M37.0)	0.917807467837876	0.969926092574694	-0.00381663588836427
enriched in neutrophils (I) (M37.1)	0.984095709185457	0.98694816051643	0.00131210701663971
endoplasmic reticulum (M37.2)	0.15394612307883	0.586957402000585	-0.060150032002841
cell division (M37.3)	0.177873291502943	0.588081677258868	-0.0181890752216511
chemokines and receptors (M38)	0.790846500464391	0.885543330617085	-0.00983709202901957
integrin mediated leukocyte migration (M39)	0.269934248719553	0.602562903593325	-0.0371376744657131
complement and other receptors in DCs (M40)	0.166531426725859	0.586957402000585	-0.0590846738800372
TBA (M41.0)	0.344129413629579	0.675307192062156	0.00996635245097195
TBA (M41.1)	0.321156421799856	0.65440484582479	0.012977219722461
TBA (M41.2)	0.608468085800281	0.84435148701172	0.00602136632110891
TBA (M41.3)	0.214844841211951	0.602562903593325	0.0206092800792315
ATF targets network (M41.4)	0.370838640415767	0.690692728737625	0.0115724240958053
platelet activation (III) (M42)	0.0711569927745328	0.53650354829081	-0.0786636362816243
myeloid, dendritic cell activation via NFkB (I) (M43.0)	0.113948982045703	0.53650354829081	-0.0443987244763338
myeloid, dendritic cell activation via NFkB (II) (M43.1)	0.102847206362442	0.53650354829081	-0.0442582866316785
T cell signaling and costimulation (M44)	0.172439653104471	0.586957402000585	-0.0393353633285056
leukocyte activation and migration (M45)	0.0845672822430972	0.53650354829081	-0.0715275621179551
cell division (stimulated CD4+ T cells) (M46)	0.061501093928595	0.506651869030806	0.0396568736578507
enriched in B cells (I) (M47.0)	0.248511237579721	0.602562903593325	0.0724066481961711
enriched in B cells (II) (M47.1)	0.259944857859395	0.602562903593325	0.0628946723428061
enriched in B cells (III) (M47.2)	0.157187869071838	0.586957402000585	0.067822236068823
enriched in B cells (IV) (M47.3)	0.242698602206994	0.602562903593325	0.03392596303727
enriched in B cells (V) (M47.4)	0.492965589100968	0.770652804044916	0.0328788378939622
TBA (M48)	0.015784805914915	0.488915277420699	-0.119920073005968
transcription regulation in cell development (M49)	0.389689260657047	0.690692728737625	-0.029915243115417
CD1 and other DC receptors (M50)	0.226754393303599	0.602562903593325	-0.0336007618569679
cell adhesion (M51)	0.511859264171526	0.783642944262601	0.0303314416725882
T cell activation (IV) (M52)	0.2069712216849	0.601781871453575	-0.0562304886163601
inflammasome receptors and signaling (M53)	0.138502286755354	0.576138343276266	-0.0581898263165511
BCR signaling (M54)	0.0813779106800603	0.53650354829081	-0.075799230489048
TBA (M55)	0.0411897121659324	0.488915277420699	-0.159410194760763
suppression of MAPK signaling (M56)	0.114969600274842	0.53650354829081	-0.0765283554377046
immuregulation - monocytes, T and B cells (M57)	0.612921439864965	0.84435148701172	0.0264486922676931
B cell development/activation (M58)	0.549820833664114	0.807002520387569	0.0176648049721175
CCR1, 7 and cell signaling (M59)	0.400398846139732	0.692690003821736	-0.0339041559275701
lymphocyte generic cluster (M60)	0.233501584632062	0.602562903593325	0.0353707854209317
enriched in NK cells (II) (M61.0)	0.72496749427785	0.86210709723463	0.0273557504570481
enriched in NK cells (KIR cluster) (M61.1)	0.649883158909377	0.855613024664889	0.0429074035859243
enriched in NK cells (receptor activation) (M61.2)	0.637429969877327	0.855613024664889	0.0535140930943694
T & B cell development, activation (M62.0)	0.259525604273396	0.602562903593325	0.0232855984409943
enriched for unknown TF motif CTCNANGTGNY (M62.1)	0.942090783744241	0.973025107986589	0.00129710485297468
regulation of localization (GO) (M63)	0.10843703855375	0.53650354829081	-0.129211309677705
enriched in activated dendritic cells/monocytes (M64)	0.219014319302111	0.602562903593325	-0.066371855854615
IL2, IL7, TCR network (M65)	0.42602217574781	0.708671503888183	0.0602702401171249
TBA (M66)	0.0159636653643414	0.488915277420699	-0.143688947416245
activated dendritic cells (M67)	0.540169437566217	0.802140023167	0.0409061235511317
RIG-1 like receptor signaling (M68)	0.682512123721125	0.855613024664889	0.0339776800485613
enriched in B cells (VI) (M69)	0.292537993341736	0.628684134759258	0.0658593659468966
TBA (M70.0)	0.247570558418677	0.602562903593325	-0.0181822843908375
TBA (M70.1)	0.799564373891684	0.892417010859751	-0.00720450733058562
enriched in antigen presentation (I) (M71)	0.0233767133824181	0.488915277420699	-0.135685687853921
TBA (M72.0)	0.203594804617469	0.601781871453575	0.0720506414776854
TBA (M72.1)	0.191248846969711	0.601781871453575	0.0692687794161505
TBA (M72.2)	0.10425108346204	0.53650354829081	0.0783292092131389
enriched in monocytes (III) (M73)	0.114233026976429	0.53650354829081	-0.0723393336672511
transcriptional targets of glucocorticoid receptor (M74)	0.71688499600415	0.86210709723463	0.00232978596619805
antiviral IFN signature (M75)	0.848913226634476	0.929280915245063	-0.0145163861087104
DNA repair (M76)	0.0953198314692854	0.53650354829081	0.0400292806202661
collagen, TGFB family et al (M77)	0.741090788845884	0.867821322111789	0.00538986311583928
myeloid cell cytokines, metallopeptidases and laminins (M78)	0.930095473833376	0.969926092574694	0.0116718870293604
TBA (M79)	0.123689221985232	0.53650354829081	-0.0717927561320709
TBA (M80)	0.288371677231612	0.627525788189546	0.023214791153315
enriched in myeloid cells and monocytes (M81)	0.694444918302586	0.85711183301222	-0.017424280975194
signal transduction, plasma membrane (M82)	0.56369428000687	0.813977159143828	-0.00737442246297682
enriched in naive and memory B cells (M83)	0.882395684900015	0.945228814165342	0.00621348288031378
integrins and cell adhesion (M84)	0.10017011555358	0.53650354829081	-0.0492275837934211
platelet activation and degranulation (M85)	0.471230941544935	0.76459031793888	-0.0161961040912935
chemokines and inflammatory molecules in myeloid cells (M86.0)	0.671985831626869	0.855613024664889	-0.00549181074873642
proinflammatory dendritic cell, myeloid cell response (M86.1)	0.580702209559796	0.823454772572498	-0.00710193664717196
transmembrane transport (I) (M87)	0.34546061559249	0.675307192062156	-0.0351394612907498
leukocyte migration (M88.0)	0.922685692206152	0.969926092574694	0.0039773157668267
enriched in hepatocyte nuclear factors (I) (M88.1)	0.205473686899073	0.601781871453575	0.0121222382201826
enriched in hepatocyte nuclear factors (II) (M88.2)	0.77392605704071	0.880727863787679	0.00072346964884485
putative targets of PAX3 (M89.0)	0.661564465528032	0.855613024664889	-0.0200904788016155
putative targets of PAX3 (M89.1)	0.47952629766687	0.76459031793888	-0.0479872243043115
TBA (M90)	0.03926910457806	0.488915277420699	-0.0164891330265966
adhesion and migration, chemotaxis (M91)	0.299773408433821	0.636328830172406	-0.0191042832632844
lipid metabolism, endoplasmic reticulum (M92)	0.479386693063255	0.76459031793888	-0.0318950682643051
TBA (M93)	0.901706985312254	0.957026432263926	0.0217807157816804
growth factor induced, enriched in nuclear receptor subfamily 4 (M94)	0.681578655392149	0.855613024664889	-0.00730903893445558
enriched in antigen presentation (II) (M95.0)	0.00963897256401269	0.488915277420699	-0.115209000455278
enriched in antigen presentation (III) (M95.1)	0.0248850934013842	0.488915277420699	-0.130267373322671
Hox cluster V (M96)	0.0678960690899439	0.535632729751379	-0.0274814870009533
enriched for SMAD2/3 signaling (M97)	0.201893611897529	0.601781871453575	0.0342290506977833
TBA (M98.0)	0.648749282977517	0.855613024664889	0.00666395483714139
TBA (M98.1)	0.19515776793922	0.601781871453575	-0.0136649420850919
TBA (M99)	0.651923048362835	0.855613024664889	0.0059608732429334
MAPK, RAS signaling (M100)	0.0535628349893551	0.488915277420699	-0.124696911142354
phosphatidylinositol signaling system (M101)	0.374663533737329	0.690692728737625	0.0579435530461099
TBA (M102)	0.489938739246479	0.770540017178554	0.0227442282170758
cell cycle (III) (M103)	0.0549113958830895	0.488915277420699	0.0343590988390709
TBA (M104)	0.935282946187151	0.969926092574694	0.014526064211488
TBA (M105)	0.552773402693219	0.807002520387569	-0.02330617480354
nuclear pore complex (M106.0)	0.981440849181475	0.98694816051643	-0.000673188151607438
nuclear pore complex (mitosis) (M106.1)	0.410692219893418	0.701563111639629	0.0265731999495252
Hox cluster VI (M107)	0.306570934942688	0.642869960546486	-0.0148521634781732
TBA (M108)	0.739284244127713	0.867821322111789	0.00437527253064949
receptors, cell migration (M109)	0.750134359828846	0.869302844780598	0.0253961492723505
axon guidance (M110)	0.416633166577474	0.7066425276265	-0.0180968436790309
viral sensing & immunity; IRF2 targets network (I) (M111.0)	0.105535645195181	0.53650354829081	-0.0615372315047284
viral sensing & immunity; IRF2 targets network (II) (M111.1)	0.766704434093305	0.875510673915127	0.0259817496259261
complement activation (I) (M112.0)	0.091154836518663	0.53650354829081	-0.0352123137894418
complement activation (II) (M112.1)	0.743325828116979	0.867821322111789	-0.00480255755941288
golgi membrane (I) (M113)	0.202538608885513	0.601781871453575	-0.0569347372748218
TBA (M114.0)	0.881165586858966	0.945228814165342	-0.00664486571522631
glycerophospholipid metabolism (M114.1)	0.670121673319445	0.855613024664889	0.0169044214198733
cytokines - recepters cluster (M115)	0.88855394498695	0.948887854831743	-0.00395395419912396
TBA (M116)	0.778909613638814	0.880727863787679	0.00258485841893441
cell adhesion (GO) (M117)	0.778676378510876	0.880727863787679	-0.00237431248653101
enriched in monocytes (IV) (M118.0)	0.273934693509593	0.606201594077445	-0.0520621662361192
enriched in monocytes (surface) (M118.1)	0.0681151448238748	0.535632729751379	-0.0727376909914722
enriched in activated dendritic cells (I) (M119)	0.0272179601983815	0.488915277420699	-0.0786522625080336
TBA (M120)	0.0420534629871205	0.488915277420699	-0.0905214481455797
TBA (M121)	0.717902019607306	0.86210709723463	0.0119955721497469
enriched for cell migration (M122)	0.380565853970131	0.690692728737625	0.013771350794238
enriched in B cell differentiation (M123)	0.339636885474601	0.675307192062156	0.0296455711507338
enriched in membrane proteins (M124)	0.621188337111651	0.847837985123098	0.0535923811954474
TBA (M125)	0.173814949383453	0.586957402000585	-0.017384627670498
double positive thymocytes (M126)	0.676901165859272	0.855613024664889	-0.0165057938969424
type I interferon response (M127)	0.590050009957761	0.829907737582867	0.052738108323703
TBA (M128)	0.395605776823189	0.690692728737625	0.0368253851380519
inositol phosphate metabolism (M129)	0.353798814803631	0.687721291696946	0.0416194112247549
enriched in G-protein coupled receptors (M130)	0.764928676608231	0.875510673915127	-0.0166400173373003
TBA (M131)	0.52098678898306	0.784686605740588	0.0690096493262471
recruitment of neutrophils (M132)	0.741240013171615	0.867821322111789	-0.0220428239885869
cell adhesion, membrane (M133.0)	0.367366606161121	0.690692728737625	-0.0192676735035869
cell cell adhesion (M133.1)	0.158316345287532	0.586957402000585	-0.0222518748195319
Membrane, ER proteins (M134)	0.763442449159548	0.875510673915127	-0.000280805139868774
enriched in plasma membrane proteins (I) (M135.0)	0.458721712177967	0.748668454781021	0.00913959097050546
enriched in plasma membrane proteins (II) (M135.1)	0.946328341412627	0.974492875383241	0.000771969258605634
TBA (M136)	0.12392220440235	0.53650354829081	-0.108361253469613
TBA (M137)	0.241838553404287	0.602562903593325	0.0549800680599952
enriched for ubiquitination (M138)	0.636140597920565	0.855613024664889	0.0277077722403048
lysosomal/endosomal proteins (M139)	0.00882826792795788	0.488915277420699	-0.140458165467597
extracellular matrix, complement (M140)	0.685816976870781	0.856652252697799	-0.0238264570056049
TBA (M141)	0.578894948760016	0.823454772572498	0.0158319010103893
transmembrane and ion transporters (I) (M142)	0.338925653317831	0.675307192062156	0.0105161007391626
nuclear pore, transport; mRNA splicing, processing (M143)	0.678649964393391	0.855613024664889	0.0214424471909951
cell cycle, ATP binding (M144)	0.14047981559238	0.576138343276266	0.090540402577406
cytoskeleton/actin (SRF transcription targets) (M145.0)	0.707025616450069	0.86210709723463	0.0159874188266328
cytoskeleton/actin (SRF transcription targets) (M145.1)	0.264821307432398	0.602562903593325	0.0536764735565746
MHC-TLR7-TLR8 cluster (M146)	0.0228025033863932	0.488915277420699	-0.133287145542663
intracellular transport (M147)	0.556704541399721	0.809326770270182	0.0268942410774962
TBA (M148)	0.368153617733901	0.690692728737625	0.0386693329965879
TBA (M149)	0.521612483584784	0.784686605740588	-0.00542126363743178
innate antiviral response (M150)	0.409007851970687	0.701563111639629	0.0786617404294581
TBA (M151)	0.714748463956722	0.86210709723463	0.0187935588860512
TBA (source: B cells) (M152.0)	0.761762016709076	0.875510673915127	-0.000289817890933868
TBA (source: naive B cells) (M152.1)	0.672725689860644	0.855613024664889	0.00654487662204366
TBA (source: memory B cells) (M152.2)	0.69307892602016	0.85711183301222	-0.00243168916461582
TBA (M153)	0.431351819927283	0.71410396983177	0.032853188194785
amino acid metabolishm and transport (M154.0)	0.569175310366658	0.817156254717276	0.00585599680526377
transmembrane transport (SLC cluster) (M154.1)	0.713551736373721	0.86210709723463	-0.00318570684407351
G protein coupled receptors cluster (M155)	0.106970928213817	0.53650354829081	-0.0624869348985367
plasma cells & B cells, immunoglobulins (M156.0)	0.204440741499768	0.601781871453575	0.0695715879327721
plasma cells, immunoglobulins (M156.1)	0.204381423344874	0.601781871453575	0.0930392124443637
enriched in NK cells (III) (M157)	0.979425904732992	0.98694816051643	0.00155440519643751
interferon alpha response (I) (M158.0)	0.0151354087055582	0.488915277420699	-0.0164656804018847
interferon alpha response (II) (M158.1)	0.0507947721611255	0.488915277420699	-0.0165029899513361
G protein mediated calcium signaling (M159)	0.63819379574835	0.855613024664889	-0.00674264010060044
leukocyte differentiation (M160)	0.204089683406471	0.601781871453575	-0.0835863363673537
TBA (M161)	0.183635483783592	0.599413937633236	0.0606921349907659
plasma membrane, cell junction (M162.0)	0.0381166859661224	0.488915277420699	-0.0233259922953706
cell junction (M162.1)	0.0551089474549342	0.488915277420699	-0.0170727363095399
enriched in neutrophils (II) (M163)	0.263990485871008	0.602562903593325	-0.0554298157729031
xenobiotic metabolism (M164)	0.928424708101613	0.969926092574694	0.00086856271525895
enriched in activated dendritic cells (II) (M165)	0.680494812238704	0.855613024664889	0.0240769641330958
TBA (M166)	0.376032220653657	0.690692728737625	-0.00476524487726226
enriched in cell cycle (M167)	0.955370219936821	0.980884558154718	0.00519640112014968
enriched in dendritic cells (M168)	0.136170624134495	0.57457360915287	-0.0488596849206768
mitosis (TF motif CCAATNNSNNNGCG) (M169)	0.315665252688195	0.65314502003781	0.0407025537541904
TBA (M170)	0.931383958192923	0.969926092574694	-0.000652663804657364
heme biosynthesis (I) (M171)	0.235987670552268	0.602562903593325	0.221316647258779
enriched for TF motif TTCNRGNNNNTTC (M172)	0.935044224062548	0.969926092574694	0.00969712792579163
erythrocyte differentiation (M173)	0.424611461786934	0.708671503888183	0.0797270174085106
TBA (M174)	0.294895394138497	0.629838310937777	0.0569199591245087
cell development (M175)	0.658278687117258	0.855613024664889	-0.00687474943517901
TBA (M176)	0.262129865947191	0.602562903593325	0.0123442571059031
TBA (M177.0)	0.514854359834719	0.784686605740588	-0.0119856345213232
TBA (M177.1)	0.17017107393501	0.586957402000585	-0.0253693500901562
enriched for promoter motif NATCACGTGAY (putative SREBF1 targets) (M178)	0.93628703734089	0.969926092574694	0.00206298355207746
enriched for TF motif PAX3 (M179)	0.246324058467136	0.602562903593325	0.0635346522257915
TBA (M180)	0.384636633716468	0.690692728737625	0.0500012768136692
nucleotide metabolism (M181)	0.564608434088205	0.813977159143828	0.019727586024268
enriched in DNA interacting proteins (M182)	0.251235166196769	0.602562903593325	0.0280750044150676
TBA (M183)	0.303515653545789	0.640344000773432	0.0167189724609881
TBA (M184.0)	0.659327910286977	0.855613024664889	-0.00581482045303482
TBA (M184.1)	0.158797259576005	0.586957402000585	-0.0158804428065115
TBA (M185)	0.614961198632814	0.84435148701172	0.0314664092562053
TBA (M186)	0.730405330794926	0.865480289229605	0.00715574790268151
metabolism in mitochondria, peroxisome (M187)	0.817452125468908	0.906533446834109	0.000840194118141446
TBA (M188)	0.26736836063784	0.602562903593325	0.123768376858003
extracellular region cluster (GO) (M189)	0.982935146359261	0.98694816051643	0.00634421805668508
TBA (M190)	0.840728008517043	0.923466320466339	0.0188082082798529
transmembrane transport (II) (M191)	0.744921770714454	0.867821322111789	0.0131010199035601
TBA (M192)	0.118095445223033	0.53650354829081	-0.0790239621679246
TBA (M193)	0.33167681293217	0.667210332991457	0.0682736031781612
TBA (M194)	0.357594303615978	0.690692728737625	0.0265497541231826
muscle contraction, SRF targets (M195)	0.269091833270303	0.602562903593325	-0.0119430892700945
platelet activation - actin binding (M196)	0.261529862319145	0.602562903593325	0.0749781793741554
TBA (M197)	0.275068353381962	0.606201594077445	0.0151124378921903
TBA (M198)	0.476710573286569	0.76459031793888	-0.0415031115996425
platelet activation & blood coagulation (M199)	0.231620060494255	0.602562903593325	0.0842695447929253
antigen processing and presentation (M200)	0.125597651478484	0.53650354829081	-0.0869526274327409
TBA (M201)	0.283248861171306	0.620279151678936	0.0684818102116265
enriched in extracellular matrix & associated proteins (M202)	0.978489428337775	0.98694816051643	-0.000299295142675977
TBA (M203)	0.174730093659134	0.586957402000585	0.0544074993928448
chaperonin mediated protein folding (I) (M204.0)	0.697632125971136	0.85711183301222	-0.00468481389688094
chaperonin mediated protein folding (II) (M204.1)	0.25498782735248	0.602562903593325	-0.0285754496695388
TBA (M205)	0.26564117598169	0.602562903593325	0.0348156480583081
Wnt signaling pathway (M206)	0.965336882550767	0.985270092514942	0.00344403558443199
TBA (M207)	0.501147054653486	0.770652804044916	-0.00299677392610217
TBA (M208)	0.813775508042668	0.90535796071628	0.00787268231992996
lysosome (M209)	0.0301654947896701	0.488915277420699	-0.112259681035847
extracellular matrix, collagen (M210)	0.145590372453222	0.58574731242808	-0.014016475668521
TBA (M211)	0.197253994202392	0.601781871453575	0.0963044352866231
purine nucleotide biosynthesis (M212)	0.650024472828149	0.855613024664889	-0.0117848160528784
regulation of transcription, transcription factors (M213)	0.308560723561365	0.643144640676099	0.0404235109821051
TBA (M214)	0.237583309109577	0.602562903593325	0.0544301074536272
small GTPase mediated signal transduction (M215)	0.114647778072642	0.53650354829081	-0.0682223125973573
respiratory electron transport chain (mitochondrion) (M216)	0.117223096503906	0.53650354829081	-0.0546295405666724
TBA (source: B cells) (M217)	0.445111934505893	0.729899191180279	-0.0115575705256432
TBA (M218)	0.317133998168648	0.65314502003781	0.0321983246878778
respiratory electron transport chain (mitochondrion) (M219)	0.0248913116067451	0.488915277420699	-0.07975204782069
TBA (M220)	0.424147520056321	0.708671503888183	-0.011235678076911
TBA (M221)	0.123705290674181	0.53650354829081	-0.00875574164832374
heme biosynthesis (II) (M222)	0.439374741629065	0.723922193350745	0.0604860682866707
enriched in T cells (II) (M223)	0.421842522407144	0.708671503888183	0.0583335941297553
transmembrane and ion transporters (II) (M224)	0.162776159106872	0.586957402000585	-0.00996927008341088
metabolism of steroids (M225)	0.784289745125957	0.882536756413213	0.00275125501194713
proteasome (M226)	0.992538625007319	0.992538625007319	0.000399254297990438
translation initiation (M227)	0.579359632090489	0.823454772572498	0.0148762769614428
olfactory receptors (M228)	0.868744979510363	0.940112865008747	-0.00176946973089372
TBA (M229)	0.25574046708165	0.602562903593325	0.0559574117127562
cell cycle, mitotic phase (M230)	0.342235153559762	0.675307192062156	0.0261182191153962
respiratory electron transport chain (mitochondrion) (M231)	0.178464092809772	0.588081677258868	-0.0420480086549799
enriched for TF motif TNCATNTCCYR (M232)	0.153605105457441	0.586957402000585	-0.0179499374836388
TBA (M233)	0.477839667787043	0.76459031793888	0.0195070983209868
transcription elongation, RNA polymerase II (M234)	0.019785255843239	0.488915277420699	-0.105605579186714
mitochondrial cluster (M235)	0.666355278556771	0.855613024664889	0.00988859589633471
TBA (M236)	0.851393208475968	0.929280915245063	0.00600746225361592
golgi membrane (II) (M237)	0.390388766579399	0.690692728737625	0.0341411458387498
respiratory electron transport chain (mitochondrion) (M238)	0.0325505832681641	0.488915277420699	-0.0935897425069842
enriched in calcium signaling proteins (M239)	0.482541975358958	0.765869373734859	0.0104256237439957
chromosome Y linked (M240)	0.396850044610453	0.690692728737625	-0.0277075700268584
TBA (M241)	0.678484991029732	0.855613024664889	-0.00951626146915234
TBA (M242)	0.497095909965948	0.770652804044916	0.02845015607603
TBA (M243)	0.0387540177395935	0.488915277420699	-0.12659281186239
TBA (M244)	0.365181538503921	0.690692728737625	-0.00748825424424201
translation initiation factor 3 complex (M245)	0.0572010319153891	0.494788926068115	-0.0804976114528224
TBA (M246)	0.022215595672048	0.488915277420699	0.126415809101458
enriched in nuclear pore complex interacting proteins (M247)	0.259279962584835	0.602562903593325	-0.0359270179808691
TBA (M248)	0.141536876238389	0.576138343276266	-0.050513143593398
TBA (M249)	0.0528198669532611	0.488915277420699	0.0800738101410095
spliceosome (M250)	0.612202972466594	0.84435148701172	-0.0170028309974788
T cell surface signature (S0)	0.500556795125746	0.770652804044916	0.0318474239794174
NK cell surface signature (S1)	0.54594777606658	0.807002520387569	0.0350615519435796
B cell surface signature (S2)	0.411610727349262	0.701563111639629	0.0118049618057497
Plasma cell surface signature (S3)	0.0103441902297898	0.488915277420699	-0.0301093145841729
Monocyte surface signature (S4)	0.0277444704543059	0.488915277420699	-0.0968945107808406
DC surface signature (S5)	0.486569861877227	0.768735946162195	-0.00952354420061774
CD4 T cell surface signature Th1-stimulated (S6)	0.583239777162972	0.823677399585258	0.0368418009439699
